No,Station_Name,Latitude,Longitude
0,Tangerang,-6.176960,106.632148
1,Tanah Tinggi,-6.174200,106.647800
2,Batu Ceper,-6.167800,106.697500
3,Poris,-6.169771,106.681174
4,Kali Deres,-6.166073,106.703801
5,Rawa Buaya,-6.159100,106.723800
6,Bojong Indah,-6.158200,106.740000
7,Taman Kota,-6.157800,106.756000
8,Pesing,-6.159000,106.775800
9,Grogol,-6.159500,106.791000
10,Duri,-6.155247,106.801452
11,Cikarang,-6.255333,107.145128
12,Metland TelagaMurni,-6.245200,107.110900
13,Cibitung,-6.239700,107.077500
14,Tambun,-6.258660,107.055820
15,Bekasi Timur,-6.246815,107.018116
16,Bekasi,-6.236609,107.000473
17,Kranji,-6.229300,106.977500
18,Cakung,-6.219026,106.952437
19,Klender Baru,-6.217600,106.940120
20,Buaran,-6.215484,106.923279
21,Klender,-6.213438,106.898715
22,Jatinegara,-6.216542,106.870205
23,Matraman,-6.206300,106.868800
24,Manggarai,-6.209559,106.850042
25,Sudirman,-6.202450,106.823767
26,Sudirman Baru,-6.200600,106.822900
27,Karet,-6.200842,106.815905
28,Tanah Abang,-6.185708,106.810901
29,Angke,-6.144730,106.800860
30,Pondok Jati,-6.209193,106.862284
31,Kramat,-6.193710,106.856590
32,Gang Sentiong,-6.186150,106.850793
33,Pasar Senen,-6.174700,106.844350
34,Kemayoran,-6.161680,106.841530
35,Rajawali,-6.145039,106.836719
36,Kampung Bandan,-6.132602,106.828602
37,Palmerah,-6.207296,106.797516
38,Kebayoran,-6.236822,106.782625
39,Pondok Ranji,-6.276620,106.744630
40,Jurang Mangu,-6.288790,106.729122
41,Sudimara,-6.296977,106.712770
42,Rawa Buntu,-6.314983,106.676269
43,Serpong,-6.320169,106.665554
44,Cisauk,-6.324450,106.641650
45,Cicayur,-6.321000,106.622000
46,Jatake,-6.316000,106.603000
47,Parung Panjang,-6.344133,106.569858
48,Cilejit,-6.340000,106.539000
49,Daru,-6.336000,106.510000
50,Tenjo,-6.327488,106.461678
51,Tigaraksa,-6.328886,106.434209
52,Cikoya,-6.330000,106.410000
53,Maja,-6.332340,106.396530
54,Citeras,-6.337000,106.370000
55,Rangkasbitung,-6.352680,106.251530
56,Jambubaru,-6.122000,106.151000
57,Catang,-6.090000,106.108000
58,Cikeusal,-6.061000,106.066000
59,Walantaka,-6.121000,106.130000
60,Serang,-6.120000,106.150000
61,Karangantu,-6.018000,106.157000
62,TonjongBaru,-6.031000,106.049000
63,Cilegon,-6.003200,106.033400
64,Krenceng,-5.993000,106.000000
65,Merak,-5.931000,105.999000
66,Jakarta Kota,-6.137574,106.814628
67,Ancol,-6.128005,106.845114
68,Tanjung Priok,-6.110955,106.881191
69,Bogor,-6.595610,106.790415
70,Cilebut,-6.531050,106.800580
71,Bojong Gede,-6.493198,106.795057
72,Citayam,-6.448822,106.802453
73,Depok,-6.404809,106.817043
74,Depok Baru,-6.391130,106.821690
75,Pondok Cina,-6.369060,106.832077
76,Univ. Indonesia,-6.360747,106.831736
77,Univ. Pancasila,-6.338695,106.834407
78,Lenteng Agung,-6.330368,106.834804
79,Tanjung Barat,-6.307808,106.838823
80,Pasar Minggu,-6.284207,106.844568
81,Pasar Minggu Baru,-6.263060,106.851598
82,Duren Kalibata,-6.255311,106.854992
83,Cawang,-6.242429,106.858727
84,Tebet,-6.226387,106.858464
85,Cikini,-6.198439,106.841311
86,Gondangdia,-6.185986,106.832597
87,Juanda,-6.166722,106.830473
88,Sawah Besar,-6.157000,106.823100
89,Mangga Besar,-6.148500,106.815500
90,Jayakarta,-6.141800,106.816200
91,Pondok Rajeg,-6.460689,106.824872
92,Cibinong,-6.464152,106.852608
93,Nambo,-6.466285,106.906267
